Year,temp_diff,temp_upper,temp_lower
1949,0.2132,0.2911,0.0926
1950,0.1304,0.2128,0.0219
1951,0.2958,0.3465,0.1860
1952,0.3723,0.4236,0.2467
1953,0.4346,0.4795,0.3028
1954,0.2402,0.2988,0.1336
1955,0.1597,0.2221,0.0653
1956,0.0938,0.1528,0.0161
1957,0.3217,0.3482,0.2308
1958,0.3394,0.3643,0.2465
1959,0.3090,0.3342,0.2220
1960,0.2415,0.2702,0.1646
1961,0.3370,0.3490,0.2576
1962,0.2930,0.3116,0.2157
1963,0.3202,0.3366,0.2398
1964,0.0511,0.0853,0.0067
1965,0.1526,0.1816,0.0930
1966,0.2081,0.2318,0.1427
1967,0.2395,0.2543,0.1767
1968,0.1883,0.2097,0.1293
1969,0.3256,0.3295,0.2566
1970,0.2719,0.2816,0.2078
1971,0.1511,0.1707,0.1013
1972,0.2632,0.2710,0.2028
1973,0.4069,0.3991,0.3334
1974,0.1845,0.1999,0.1321
1975,0.2462,0.2581,0.1851
1976,0.1412,0.1631,0.0910
1977,0.4601,0.4528,0.3753
1978,0.3623,0.3619,0.2902
1979,0.4479,0.4287,0.3774
1980,0.5531,0.5277,0.4678
1981,0.6070,0.5739,0.5187
1982,0.3913,0.3876,0.3167
1983,0.5808,0.5549,0.4905
1984,0.4050,0.3973,0.3317
1985,0.4067,0.3967,0.3354
1986,0.4527,0.4356,0.3793
1987,0.6000,0.5678,0.5123
1988,0.6391,0.6068,0.5436
1989,0.5362,0.5139,0.4513
1990,0.7176,0.6782,0.6134
1991,0.6959,0.6577,0.5949
1992,0.4819,0.4643,0.4031
1993,0.5227,0.5042,0.4367
1994,0.5905,0.5631,0.4999
1995,0.7339,0.6904,0.6306
1996,0.6337,0.6005,0.5402
1997,0.7793,0.7304,0.6724
1998,0.9343,0.8717,0.8101
1999,0.6815,0.6418,0.5848
2000,0.6881,0.6488,0.5897
2001,0.8463,0.7897,0.7336
2002,0.9005,0.8380,0.7828
2003,0.9012,0.8407,0.7814
2004,0.8244,0.7717,0.7122
2005,0.9639,0.8955,0.8394
2006,0.9295,0.8641,0.8091
2007,0.9487,0.8811,0.8265
2008,0.8226,0.7701,0.7107
2009,0.9538,0.8868,0.8300
2010,1.0374,0.9618,0.9055
2011,0.8947,0.8337,0.7767
2012,0.9346,0.8706,0.8117
2013,0.9806,0.9141,0.8509
2014,1.0299,0.9574,0.8963
2015,1.1821,1.0943,1.0335
2016,1.2899,1.1890,1.1329
2017,1.2022,1.1093,1.0546
2018,1.1196,1.0361,0.9792
2019,1.2481,1.1541,1.0924
2020,1.2799,1.1831,1.1208
2021,1.1189,1.0398,0.9742
2022,1.1583,1.0749,1.0100
2023,1.4573,1.3464,1.2768
2024,1.5356,1.4450,1.3190
