Entity,Year,AnnualCO2,logCO2
Africa,1864,232870480.0000,8.3671
Africa,1865,230244020.0000,8.3622
Africa,1866,221226220.0000,8.3448
Africa,1867,207115040.0000,8.3162
Africa,1868,194916580.0000,8.2898
Africa,1869,218346750.0000,8.3391
Africa,1870,222189070.0000,8.3467
Africa,1871,230375040.0000,8.3624
Africa,1872,220739790.0000,8.3439
Africa,1873,223049810.0000,8.3484
Africa,1874,223188290.0000,8.3487
Africa,1875,220275710.0000,8.3430
Africa,1876,218534510.0000,8.3395
Africa,1877,218961760.0000,8.3404
Africa,1878,223923250.0000,8.3501
Africa,1879,235388100.0000,8.3718
Africa,1880,219247360.0000,8.3409
Africa,1881,225335740.0000,8.3528
Africa,1882,257468880.0000,8.4107
Africa,1883,244002460.0000,8.3874
Africa,1884,237164750.0000,8.3751
Africa,1885,248121630.0000,8.3947
Africa,1886,246721260.0000,8.3922
Africa,1887,239135780.0000,8.3786
Africa,1888,244762800.0000,8.3887
Africa,1889,247834460.0000,8.3942
Africa,1890,253560660.0000,8.4041
Africa,1891,279001630.0000,8.4456
Africa,1892,248083470.0000,8.3946
Africa,1893,269202500.0000,8.4301
Africa,1894,265342830.0000,8.4238
Africa,1895,262898980.0000,8.4198
Africa,1896,286452960.0000,8.4571
Africa,1897,279378000.0000,8.4462
Africa,1898,287378050.0000,8.4585
Africa,1899,297976770.0000,8.4742
Africa,1900,319377500.0000,8.5043
Africa,1901,308228480.0000,8.4889
Africa,1902,320250140.0000,8.5055
Africa,1903,322132580.0000,8.5080
Africa,1904,342755360.0000,8.5350
Africa,1905,349639100.0000,8.5436
Africa,1906,355050600.0000,8.5503
Africa,1907,354829120.0000,8.5500
Africa,1908,373910430.0000,8.5728
Africa,1909,388415230.0000,8.5893
Africa,1910,405320350.0000,8.6078
Africa,1911,433594500.0000,8.6371
Africa,1912,433909150.0000,8.6374
Africa,1913,436706000.0000,8.6402
Africa,1914,458725900.0000,8.6616
Africa,1915,504776450.0000,8.7031
Africa,1916,494697700.0000,8.6943
Africa,1917,510418000.0000,8.7079
Africa,1918,500274300.0000,8.6992
Africa,1919,511636580.0000,8.7090
Africa,1920,536908700.0000,8.7299
Africa,1921,570263040.0000,8.7561
Africa,1922,598972540.0000,8.7774
Africa,1923,617036200.0000,8.7903
Africa,1924,631862340.0000,8.8006
Africa,1925,666894850.0000,8.8241
Africa,1926,659814460.0000,8.8194
Africa,1927,677974100.0000,8.8312
Africa,1928,669941200.0000,8.8260
Africa,1929,691266240.0000,8.8396
Africa,1930,762639500.0000,8.8823
Africa,1931,817064640.0000,8.9123
Africa,1932,845103040.0000,8.9269
Africa,1933,873234500.0000,8.9411
Africa,1934,861628600.0000,8.9353
Africa,1935,888379200.0000,8.9486
Africa,1936,906409000.0000,8.9573
Africa,1937,908966100.0000,8.9585
Africa,1938,954338600.0000,8.9797
Africa,1939,966175500.0000,8.9851
Africa,1940,1166340500.0000,9.0668
Africa,1941,1325625900.0000,9.1224
Africa,1942,1427059800.0000,9.1544
Africa,1943,1505066000.0000,9.1776
Africa,1944,1542948500.0000,9.1884
Africa,1945,1616428700.0000,9.2086
Africa,1946,1670179100.0000,9.2228
Africa,1947,1712571100.0000,9.2336
Africa,1948,1777832300.0000,9.2499
Africa,1949,1820920000.0000,9.2603
Africa,1950,1889789700.0000,9.2764
Africa,1951,1916989700.0000,9.2826
Africa,1952,1918504100.0000,9.2830
Africa,1953,1949653500.0000,9.2900
Africa,1954,1998497700.0000,9.3007
Africa,1955,2050817500.0000,9.3119
Africa,1956,2094961800.0000,9.3212
Africa,1957,2144686100.0000,9.3314
Africa,1958,2202028000.0000,9.3428
Africa,1959,2268458800.0000,9.3557
Africa,1960,2283131000.0000,9.3585
Africa,1961,2077045100.0000,9.3174
Africa,1962,1970782300.0000,9.2946
Africa,1963,1899818500.0000,9.2787
Africa,1964,1890864400.0000,9.2767
Africa,1965,1867016800.0000,9.2711
Africa,1966,1869860100.0000,9.2718
Africa,1967,1969387400.0000,9.2943
Africa,1968,1913707300.0000,9.2819
Africa,1969,2032769200.0000,9.3081
Africa,1970,2112525200.0000,9.3248
Africa,1971,2052458900.0000,9.3123
Africa,1972,2058443900.0000,9.3135
Africa,1973,2109665700.0000,9.3242
Africa,1974,2111943800.0000,9.3247
Africa,1975,2112276700.0000,9.3248
Africa,1976,2179389700.0000,9.3383
Africa,1977,2292256300.0000,9.3603
Africa,1978,2222878200.0000,9.3469
Africa,1979,2297842700.0000,9.3613
Africa,1980,2336832500.0000,9.3686
Africa,1981,2274556000.0000,9.3569
Africa,1982,2324004400.0000,9.3662
Africa,1983,2381576000.0000,9.3769
Africa,1984,2565165300.0000,9.4091
Africa,1985,2605052700.0000,9.4158
Africa,1986,2605406700.0000,9.4159
Africa,1987,2674219000.0000,9.4272
Africa,1988,2689546800.0000,9.4297
Africa,1989,2739481300.0000,9.4377
Africa,1990,2857158400.0000,9.4559
Africa,1991,2971051800.0000,9.4729
Africa,1992,3063356000.0000,9.4862
Africa,1993,3123850800.0000,9.4947
Africa,1994,3395308000.0000,9.5309
Africa,1995,3460717300.0000,9.5392
Africa,1996,3541378800.0000,9.5492
Africa,1997,3588715000.0000,9.5549
Africa,1998,3699745000.0000,9.5682
Africa,1999,3624575000.0000,9.5593
Africa,2000,3702621200.0000,9.5685
Africa,2001,3614512400.0000,9.5580
Africa,2002,3683871500.0000,9.5663
Africa,2003,3900794400.0000,9.5912
Africa,2004,3948601000.0000,9.5964
Africa,2005,3984173800.0000,9.6003
Africa,2006,4019546600.0000,9.6042
Africa,2007,4086928100.0000,9.6114
Africa,2008,4414530600.0000,9.6449
Africa,2009,4502975000.0000,9.6535
Africa,2010,4749242400.0000,9.6766
Africa,2011,4864815000.0000,9.6871
Africa,2012,4877841000.0000,9.6882
Africa,2013,4859291000.0000,9.6866
Africa,2014,4832225000.0000,9.6841
Africa,2015,4700033500.0000,9.6721
Africa,2016,4723368000.0000,9.6743
Africa,2017,4828341000.0000,9.6838
Africa,2018,4642031000.0000,9.6667
Africa,2019,4668678700.0000,9.6692
Africa,2020,4465167400.0000,9.6498
Africa,2021,4604308500.0000,9.6632
Africa,2022,4654375400.0000,9.6679
Africa,2023,4661945300.0000,9.6686
Albania,1850,1398595.8000,6.1457
Albania,1851,1421029.5000,6.1526
Albania,1852,1447804.6000,6.1607
Albania,1853,1466801.4000,6.1664
Albania,1854,1479576.4000,6.1701
Albania,1855,1490351.8000,6.1733
Albania,1856,1505071.6000,6.1776
Albania,1857,1532336.4000,6.1854
Albania,1858,1544674.5000,6.1888
Albania,1859,1548213.4000,6.1898
Albania,1860,1546506.2000,6.1894
Albania,1861,1557433.6000,6.1924
Albania,1862,1543393.6000,6.1885
Albania,1863,1559442.2000,6.1930
Albania,1864,1550761.0000,6.1905
Albania,1865,1578213.6000,6.1982
Albania,1866,1599623.4000,6.2040
Albania,1867,1613390.5000,6.2077
Albania,1868,1609342.8000,6.2066
Albania,1869,1632249.4000,6.2128
Albania,1870,1688352.4000,6.2275
Albania,1871,1704718.8000,6.2317
Albania,1872,1739696.4000,6.2405
Albania,1873,1774941.8000,6.2492
Albania,1874,1791937.4000,6.2533
Albania,1875,1810802.9000,6.2579
Albania,1876,1832597.0000,6.2631
Albania,1877,1868177.2000,6.2714
Albania,1878,1896635.4000,6.2780
Albania,1879,1905728.6000,6.2801
Albania,1880,1913203.8000,6.2818
Albania,1881,1946426.9000,6.2892
Albania,1882,1934800.2000,6.2866
Albania,1883,1966208.6000,6.2936
Albania,1884,1955953.6000,6.2914
Albania,1885,2000173.1000,6.3011
Albania,1886,2028652.2000,6.3072
Albania,1887,2052577.8000,6.3123
Albania,1888,2046076.5000,6.3109
Albania,1889,2083055.2000,6.3187
Albania,1890,2154147.5000,6.3333
Albania,1891,2166822.8000,6.3358
Albania,1892,2207566.0000,6.3439
Albania,1893,2237970.8000,6.3499
Albania,1894,2251718.0000,6.3525
Albania,1895,2267019.5000,6.3555
Albania,1896,2290647.2000,6.3600
Albania,1897,2341003.5000,6.3694
Albania,1898,2353521.2000,6.3717
Albania,1899,2363137.5000,6.3735
Albania,1900,2376156.5000,6.3759
Albania,1901,2396919.0000,6.3797
Albania,1902,2419522.0000,6.3837
Albania,1903,2446043.8000,6.3885
Albania,1904,2484452.2000,6.3952
Albania,1905,2498574.0000,6.3977
Albania,1906,2507343.0000,6.3992
Albania,1907,2517434.5000,6.4010
Albania,1908,2549805.5000,6.4065
Albania,1909,2542295.0000,6.4052
Albania,1910,2442287.5000,6.3878
Albania,1911,2422951.2000,6.3843
Albania,1912,2430083.2000,6.3856
Albania,1913,2380288.5000,6.3766
Albania,1914,2396406.5000,6.3796
Albania,1915,2351668.0000,6.3714
Albania,1916,2362023.8000,6.3733
Albania,1917,2393224.8000,6.3790
Albania,1918,2412475.2000,6.3825
Albania,1919,2387648.2000,6.3780
Albania,1920,2316423.8000,6.3648
Albania,1921,2338633.2000,6.3690
Albania,1922,2283264.8000,6.3586
Albania,1923,2250607.5000,6.3523
Albania,1924,2226055.5000,6.3475
Albania,1925,2243031.5000,6.3508
Albania,1926,2200607.2000,6.3425
Albania,1927,2200966.5000,6.3426
Albania,1928,2205942.2000,6.3436
Albania,1929,2162044.5000,6.3349
Albania,1930,2347266.5000,6.3706
Albania,1931,2425584.5000,6.3848
Albania,1932,2449369.2000,6.3891
Albania,1933,2457689.5000,6.3905
Albania,1934,2437630.2000,6.3870
Albania,1935,2469742.2000,6.3927
Albania,1936,2597160.0000,6.4145
Albania,1937,2804039.0000,6.4478
Albania,1938,2913004.8000,6.4643
Albania,1939,3055183.5000,6.4850
Albania,1940,3801239.0000,6.5799
Albania,1941,3926459.8000,6.5940
Albania,1942,4223882.0000,6.6257
Albania,1943,4066729.5000,6.6092
Albania,1944,3773227.2000,6.5767
Albania,1945,3900402.2000,6.5911
Albania,1946,4498519.5000,6.6531
Albania,1947,5149824.5000,6.7118
Albania,1948,5032426.5000,6.7018
Albania,1949,5483526.0000,6.7391
Albania,1950,4807795.0000,6.6819
Albania,1951,5201947.5000,6.7162
Albania,1952,5570485.0000,6.7459
Albania,1953,5826075.5000,6.7654
Albania,1954,6205071.5000,6.7927
Albania,1955,6603316.5000,6.8198
Albania,1956,7062397.5000,6.8490
Albania,1957,8228677.5000,6.9153
Albania,1958,8068413.5000,6.9068
Albania,1959,9796621.0000,6.9911
Albania,1960,8963375.0000,6.9525
Albania,1961,8305684.5000,6.9194
Albania,1962,8139223.5000,6.9106
Albania,1963,7120079.0000,6.8525
Albania,1964,7751528.0000,6.8894
Albania,1965,8271145.5000,6.9176
Albania,1966,8811016.0000,6.9450
Albania,1967,8605448.0000,6.9348
Albania,1968,8933522.0000,6.9510
Albania,1969,9063794.0000,6.9573
Albania,1970,9391573.0000,6.9727
Albania,1971,9818439.0000,6.9920
Albania,1972,11089876.0000,7.0449
Albania,1973,10689287.0000,7.0289
Albania,1974,9281565.0000,6.9676
Albania,1975,10013362.0000,7.0006
Albania,1976,11927514.0000,7.0765
Albania,1977,11832399.0000,7.0731
Albania,1978,12934224.0000,7.1117
Albania,1979,13871449.0000,7.1421
Albania,1980,11315087.0000,7.0537
Albania,1981,13298025.0000,7.1238
Albania,1982,13551663.0000,7.1320
Albania,1983,14289615.0000,7.1550
Albania,1984,13953504.0000,7.1447
Albania,1985,13866290.0000,7.1420
Albania,1986,14043896.0000,7.1475
Albania,1987,13870321.0000,7.1421
Albania,1988,13367100.0000,7.1260
Albania,1989,15631999.0000,7.1940
Albania,1990,11401768.0000,7.0570
Albania,1991,9837252.0000,6.9929
Albania,1992,7078085.0000,6.8499
Albania,1993,6721277.0000,6.8275
Albania,1994,6685332.5000,6.8251
Albania,1995,6818155.0000,6.8337
Albania,1996,6403816.0000,6.8064
Albania,1997,5623275.5000,6.7500
Albania,1998,5890557.5000,6.7702
Albania,1999,6918070.0000,6.8400
Albania,2000,6753847.0000,6.8296
Albania,2001,6906126.0000,6.8392
Albania,2002,7369299.5000,6.8674
Albania,2003,8417628.0000,6.9252
Albania,2004,7493229.5000,6.8747
Albania,2005,9992214.0000,6.9997
Albania,2006,8008983.0000,6.9036
Albania,2007,10685385.0000,7.0288
Albania,2008,9942069.0000,6.9975
Albania,2009,8564950.0000,6.9327
Albania,2010,8988948.0000,6.9537
Albania,2011,9643023.0000,6.9842
Albania,2012,9324715.0000,6.9696
Albania,2013,9658399.0000,6.9849
Albania,2014,10475174.0000,7.0202
Albania,2015,9691539.0000,6.9864
Albania,2016,9100933.0000,6.9591
Albania,2017,9765720.0000,6.9897
Albania,2018,9080747.0000,6.9581
Albania,2019,8669044.0000,6.9380
Albania,2020,8119893.0000,6.9096
Albania,2021,8267427.5000,6.9174
Albania,2022,8114079.0000,6.9092
Albania,2023,7673294.0000,6.8850
Algeria,1850,2600273.2000,6.4150
Algeria,1851,2562582.8000,6.4087
Algeria,1852,2545735.0000,6.4058
Algeria,1853,2545698.2000,6.4058
Algeria,1854,2548776.5000,6.4063
Algeria,1855,2552911.5000,6.4070
Algeria,1856,2558151.0000,6.4079
Algeria,1857,2564066.8000,6.4089
Algeria,1858,2575737.8000,6.4109
Algeria,1859,2584296.8000,6.4123
Algeria,1860,2598623.0000,6.4147
Algeria,1861,2611067.0000,6.4168
Algeria,1862,2622044.5000,6.4186
Algeria,1863,2631062.0000,6.4201
Algeria,1864,2637970.2000,6.4213
Algeria,1865,2645629.2000,6.4225
Algeria,1866,2653435.5000,6.4238
Algeria,1867,2661380.0000,6.4251
Algeria,1868,2669880.0000,6.4265
Algeria,1869,2678516.0000,6.4279
Algeria,1870,2610903.2000,6.4168
Algeria,1871,2622230.0000,6.4187
Algeria,1872,2635663.5000,6.4209
Algeria,1873,2651004.2000,6.4234
Algeria,1874,2667320.8000,6.4261
Algeria,1875,2684303.5000,6.4288
Algeria,1876,2701350.0000,6.4316
Algeria,1877,2718013.8000,6.4343
Algeria,1878,2733775.0000,6.4368
Algeria,1879,2750615.2000,6.4394
Algeria,1880,2772890.5000,6.4429
Algeria,1881,2790566.0000,6.4457
Algeria,1882,2806130.5000,6.4481
Algeria,1883,2819740.8000,6.4502
Algeria,1884,2834024.2000,6.4524
Algeria,1885,2848095.2000,6.4546
Algeria,1886,2862204.8000,6.4567
Algeria,1887,2875146.0000,6.4587
Algeria,1888,2888221.8000,6.4606
Algeria,1889,2900045.0000,6.4624
Algeria,1890,2910020.0000,6.4639
Algeria,1891,2930242.2000,6.4669
Algeria,1892,2947593.0000,6.4695
Algeria,1893,2962665.8000,6.4717
Algeria,1894,2977760.0000,6.4739
Algeria,1895,2992648.8000,6.4761
Algeria,1896,3007369.5000,6.4782
Algeria,1897,3021996.5000,6.4803
Algeria,1898,3047040.0000,6.4839
Algeria,1899,3098246.0000,6.4911
Algeria,1900,3208005.2000,6.5062
Algeria,1901,3341756.0000,6.5240
Algeria,1902,3496758.0000,6.5437
Algeria,1903,3689423.0000,6.5670
Algeria,1904,3926891.0000,6.5940
Algeria,1905,4158591.5000,6.6189
Algeria,1906,4406291.0000,6.6441
Algeria,1907,4652277.5000,6.6677
Algeria,1908,4910191.5000,6.6911
Algeria,1909,5147659.5000,6.7116
Algeria,1910,5397907.5000,6.7322
Algeria,1911,5654079.0000,6.7524
Algeria,1912,5898589.5000,6.7707
Algeria,1913,6126120.5000,6.7872
Algeria,1914,6376211.0000,6.8046
Algeria,1915,6611016.5000,6.8203
Algeria,1916,6880429.5000,6.8376
Algeria,1917,7102189.0000,6.8514
Algeria,1918,7330467.0000,6.8651
Algeria,1919,7513684.0000,6.8759
Algeria,1920,7717527.5000,6.8875
Algeria,1921,7884576.0000,6.8968
Algeria,1922,8107827.0000,6.9089
Algeria,1923,8267557.0000,6.9174
Algeria,1924,8481724.0000,6.9285
Algeria,1925,8649762.0000,6.9370
Algeria,1926,8736756.0000,6.9414
Algeria,1927,8906869.0000,6.9497
Algeria,1928,9025784.0000,6.9555
Algeria,1929,9217386.0000,6.9646
Algeria,1930,9263871.0000,6.9668
Algeria,1931,9322984.0000,6.9696
Algeria,1932,9421389.0000,6.9741
Algeria,1933,9483768.0000,6.9770
Algeria,1934,9508857.0000,6.9781
Algeria,1935,9522506.0000,6.9788
Algeria,1936,9373980.0000,6.9719
Algeria,1937,9381244.0000,6.9723
Algeria,1938,9337150.0000,6.9702
Algeria,1939,10744342.0000,7.0312
Algeria,1940,10685664.0000,7.0288
Algeria,1941,10931104.0000,7.0387
Algeria,1942,11418119.0000,7.0576
Algeria,1943,11551294.0000,7.0626
Algeria,1944,11905471.0000,7.0757
Algeria,1945,12178190.0000,7.0856
Algeria,1946,12504294.0000,7.0971
Algeria,1947,12485389.0000,7.0964
Algeria,1948,12624137.0000,7.1012
Algeria,1949,12744957.0000,7.1053
Algeria,1950,34227732.0000,7.5344
Algeria,1951,36519304.0000,7.5625
Algeria,1952,35837340.0000,7.5543
Algeria,1953,39010584.0000,7.5912
Algeria,1954,40157696.0000,7.6038
Algeria,1955,43083412.0000,7.6343
Algeria,1956,45062540.0000,7.6538
Algeria,1957,47523140.0000,7.6769
Algeria,1958,45280916.0000,7.6559
Algeria,1959,50578164.0000,7.7040
Algeria,1960,53877070.0000,7.7314
Algeria,1961,45632948.0000,7.6593
Algeria,1962,40022996.0000,7.6023
Algeria,1963,35165064.0000,7.5461
Algeria,1964,35450516.0000,7.5496
Algeria,1965,38445736.0000,7.5848
Algeria,1966,47146780.0000,7.6735
Algeria,1967,43238140.0000,7.6359
Algeria,1968,42781890.0000,7.6313
Algeria,1969,47984820.0000,7.6811
Algeria,1970,58219896.0000,7.7651
Algeria,1971,63049956.0000,7.7997
Algeria,1972,80358350.0000,7.9050
Algeria,1973,90378330.0000,7.9561
Algeria,1974,89786840.0000,7.9532
Algeria,1975,91422210.0000,7.9611
Algeria,1976,95217650.0000,7.9787
Algeria,1977,98898130.0000,7.9952
Algeria,1978,122399160.0000,8.0878
Algeria,1979,109350740.0000,8.0388
Algeria,1980,125338660.0000,8.0981
Algeria,1981,103514904.0000,8.0150
Algeria,1982,95699420.0000,7.9809
Algeria,1983,120154900.0000,8.0797
Algeria,1984,137516020.0000,8.1384
Algeria,1985,141183180.0000,8.1498
Algeria,1986,148300340.0000,8.1711
Algeria,1987,157117390.0000,8.1962
Algeria,1988,156991280.0000,8.1959
Algeria,1989,155679340.0000,8.1922
Algeria,1990,160869060.0000,8.2065
Algeria,1991,169125710.0000,8.2282
Algeria,1992,165197940.0000,8.2180
Algeria,1993,171063420.0000,8.2332
Algeria,1994,175044590.0000,8.2431
Algeria,1995,192564860.0000,8.2846
Algeria,1996,196755660.0000,8.2939
Algeria,1997,179374510.0000,8.2538
Algeria,1998,196013800.0000,8.2923
Algeria,1999,183054050.0000,8.2626
Algeria,2000,183103260.0000,8.2627
Algeria,2001,175084430.0000,8.2432
Algeria,2002,175334690.0000,8.2439
Algeria,2003,187612640.0000,8.2733
Algeria,2004,181704370.0000,8.2594
Algeria,2005,201883020.0000,8.3051
Algeria,2006,200437900.0000,8.3020
Algeria,2007,200464480.0000,8.3020
Algeria,2008,204950270.0000,8.3116
Algeria,2009,205922460.0000,8.3137
Algeria,2010,210811920.0000,8.3239
Algeria,2011,217176100.0000,8.3368
Algeria,2012,229929940.0000,8.3616
Algeria,2013,233757600.0000,8.3688
Algeria,2014,247471360.0000,8.3935
Algeria,2015,257117600.0000,8.4101
Algeria,2016,260646420.0000,8.4161
Algeria,2017,267286860.0000,8.4270
Algeria,2018,276093860.0000,8.4411
Algeria,2019,280463360.0000,8.4479
Algeria,2020,264183620.0000,8.4219
